class	method	parameters	returns
{LV.Scale}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.Scale}	SetProperty	Index; Value	
{LV.Scale}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.Scale}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.Scale}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.ScriptNodeParameter}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.ScriptNodeParameter}	Delete		
{LV.ScriptNodeParameter}	GetProperty	Index	GetProperty
{LV.ScriptNodeParameter}	GetPropertyCallData		GetPropertyCallData
{LV.ScriptNodeParameter}	GetTag	TagName	GetTag; Value; isPersistent
{LV.ScriptNodeParameter}	Move	position; owner; duplicate	
{LV.ScriptNodeParameter}	ObjHighlight		
{LV.ScriptNodeParameter}	RemoveTag	TagName	RemoveTag; OldValue
{LV.ScriptNodeParameter}	Replace	Style; Path; PaletteString	Replace
{LV.ScriptNodeParameter}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.ScriptNodeParameter}	SetProperty	Index; Value	
{LV.ScriptNodeParameter}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.ScriptNodeParameter}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.ScriptNodeParameter}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.ScriptNode}	Add Input	Position; Name	Add Input
{LV.ScriptNode}	Add Output	Position; Name	Add Output
{LV.ScriptNode}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.ScriptNode}	Connect Wires	Wire Source; Auto Wire? (T); Wiring Specs; Auto Route? (F)	
{LV.ScriptNode}	Delete		
{LV.ScriptNode}	GetProperty	Index	GetProperty
{LV.ScriptNode}	GetPropertyCallData		GetPropertyCallData
{LV.ScriptNode}	GetTag	TagName	GetTag; Value; isPersistent
{LV.ScriptNode}	Move	position; owner; duplicate	
{LV.ScriptNode}	ObjHighlight		
{LV.ScriptNode}	RemoveTag	TagName	RemoveTag; OldValue
{LV.ScriptNode}	Replace	Style; Path; PaletteString	Replace
{LV.ScriptNode}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.ScriptNode}	SetProperty	Index; Value	
{LV.ScriptNode}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.ScriptNode}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.ScriptNode}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.SequenceLocal}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.SequenceLocal}	Delete		
{LV.SequenceLocal}	GetProperty	Index	GetProperty
{LV.SequenceLocal}	GetPropertyCallData		GetPropertyCallData
{LV.SequenceLocal}	GetTag	TagName	GetTag; Value; isPersistent
{LV.SequenceLocal}	RemoveTag	TagName	RemoveTag; OldValue
{LV.SequenceLocal}	SetProperty	Index; Value	
{LV.SequenceLocal}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.SequenceLocal}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.SequenceLocal}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.Sequence}	Add Frame	Reference Frame Index; After? (T)	Add Frame
{LV.Sequence}	Add Sequence Local	Edge; Position	Add Sequence Local
{LV.Sequence}	Auto Size		
{LV.Sequence}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.Sequence}	Connect Wires	Wire Source; Auto Wire? (T); Wiring Specs; Auto Route? (F)	
{LV.Sequence}	Delete		
{LV.Sequence}	Duplicate Frame	Frame Index	Duplicate Frame
{LV.Sequence}	GetProperty	Index	GetProperty
{LV.Sequence}	GetPropertyCallData		GetPropertyCallData
{LV.Sequence}	GetTag	TagName	GetTag; Value; isPersistent
{LV.Sequence}	Move	position; owner; duplicate	
{LV.Sequence}	ObjHighlight		
{LV.Sequence}	Remove Frame	Frame Index	
{LV.Sequence}	Remove Structure		
{LV.Sequence}	RemoveTag	TagName	RemoveTag; OldValue
{LV.Sequence}	Replace	Style; Path; PaletteString	Replace
{LV.Sequence}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.Sequence}	SetProperty	Index; Value	
{LV.Sequence}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.Sequence}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.Sequence}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.SimDiagram}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.SimDiagram}	CopyToCompanion	TargetDiag	
{LV.SimDiagram}	Delete		
{LV.SimDiagram}	GetProperty	Index	GetProperty
{LV.SimDiagram}	GetPropertyCallData		GetPropertyCallData
{LV.SimDiagram}	GetTag	TagName	GetTag; Value; isPersistent
{LV.SimDiagram}	MakeSpace	Rect	
{LV.SimDiagram}	Move	position; owner; duplicate	
{LV.SimDiagram}	ObjHighlight		
{LV.SimDiagram}	Paste	Pos	
{LV.SimDiagram}	RemoveTag	TagName	RemoveTag; OldValue
{LV.SimDiagram}	Replace	Style; Path; PaletteString	Replace
{LV.SimDiagram}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.SimDiagram}	Select All		
{LV.SimDiagram}	SetProperty	Index; Value	
{LV.SimDiagram}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.SimDiagram}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.SimDiagram}	ShrinkWrapStructs		
{LV.SimDiagram}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.SimDiagram}	setNodeMap	NodeMap; SimDiagram; CompSRDiag; SimSRDiag	
{LV.SimDiagram}	setSignalMap	NodeMap	
{LV.SimulationDCO}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.SimulationDCO}	Delete		
{LV.SimulationDCO}	GetProperty	Index	GetProperty
{LV.SimulationDCO}	GetPropertyCallData		GetPropertyCallData
{LV.SimulationDCO}	GetTag	TagName	GetTag; Value; isPersistent
{LV.SimulationDCO}	Move	position; owner; duplicate	
{LV.SimulationDCO}	ObjHighlight		
{LV.SimulationDCO}	RemoveTag	TagName	RemoveTag; OldValue
{LV.SimulationDCO}	Replace	Style; Path; PaletteString	Replace
{LV.SimulationDCO}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.SimulationDCO}	SetProperty	Index; Value	
{LV.SimulationDCO}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.SimulationDCO}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.SimulationDCO}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.SimulationNode}	Auto Size		
{LV.SimulationNode}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.SimulationNode}	Connect Wires	Wire Source; Auto Wire? (T); Wiring Specs; Auto Route? (F)	
{LV.SimulationNode}	Delete		
{LV.SimulationNode}	GetProperty	Index	GetProperty
{LV.SimulationNode}	GetPropertyCallData		GetPropertyCallData
{LV.SimulationNode}	GetTag	TagName	GetTag; Value; isPersistent
{LV.SimulationNode}	Move	position; owner; duplicate	
{LV.SimulationNode}	ObjHighlight		
{LV.SimulationNode}	Remove Structure		
{LV.SimulationNode}	RemoveTag	TagName	RemoveTag; OldValue
{LV.SimulationNode}	Replace	Style; Path; PaletteString	Replace
{LV.SimulationNode}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.SimulationNode}	SetProperty	Index; Value	
{LV.SimulationNode}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.SimulationNode}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.SimulationNode}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.SlideScale}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.SlideScale}	Delete		
{LV.SlideScale}	GetProperty	Index	GetProperty
{LV.SlideScale}	GetPropertyCallData		GetPropertyCallData
{LV.SlideScale}	GetTag	TagName	GetTag; Value; isPersistent
{LV.SlideScale}	Move	position; owner; duplicate	
{LV.SlideScale}	ObjHighlight		
{LV.SlideScale}	RemoveTag	TagName	RemoveTag; OldValue
{LV.SlideScale}	Replace	Style; Path; PaletteString	Replace
{LV.SlideScale}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.SlideScale}	SetProperty	Index; Value	
{LV.SlideScale}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.SlideScale}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.SlideScale}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.Slide}	Add Slider		
{LV.Slide}	AttachDataSocket	url; mode; enabled	
{LV.Slide}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.Slide}	CpyWizTmpl	TmplPath; WizID; Select	CpyWizTmpl
{LV.Slide}	Create Control Ref		Create Control Ref
{LV.Slide}	Create Invoke Node		Create Invoke Node
{LV.Slide}	Create Local		Create Local
{LV.Slide}	Create Property Node		Create Property Node
{LV.Slide}	Delete		
{LV.Slide}	Delete Slider		
{LV.Slide}	Discon Typedef		Discon Typedef
{LV.Slide}	Get Image	image depth; bg color	image data
{LV.Slide}	Get Term Image	image depth; background color	image data
{LV.Slide}	GetProperty	Index	GetProperty
{LV.Slide}	GetPropertyCallData		GetPropertyCallData
{LV.Slide}	GetTag	TagName	GetTag; Value; isPersistent
{LV.Slide}	Move	position; owner; duplicate	
{LV.Slide}	ObjHighlight		
{LV.Slide}	Reinit To Dflt		
{LV.Slide}	RemoveDataSocket		
{LV.Slide}	RemoveTag	TagName	RemoveTag; OldValue
{LV.Slide}	Replace	Style; Path; PaletteString	Replace
{LV.Slide}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.Slide}	SetProperty	Index; Value	
{LV.Slide}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.Slide}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.Slide}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.Slide}	Update Typedef		Update Typedef
{LV.StateDiagramWizard}	AddInitItems	MastrEnum; StateLoop; StateCase; TransEnum; TransCase; StateEnum; TransEnum; TransCase	
{LV.StateDiagramWizard}	AddNewStateItems	TransEnum; ActCase; StateConst	
{LV.StateDiagramWizard}	AddNewTransItems	ToStateConst; ToStateConst	
{LV.StateDiagramWizard}	AddState	stateName; stateBounds	
{LV.StateDiagramWizard}	AddTransition	transName; fromState; toState; exitAngle; enterAngle; stiffness; labelPos; pinCorner	
{LV.StateDiagramWizard}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.StateDiagramWizard}	Delete		
{LV.StateDiagramWizard}	GetProperty	Index	GetProperty
{LV.StateDiagramWizard}	GetPropertyCallData		GetPropertyCallData
{LV.StateDiagramWizard}	GetStateData	stateIdx	stateName; stateRect; Terminal?
{LV.StateDiagramWizard}	GetTag	TagName	GetTag; Value; isPersistent
{LV.StateDiagramWizard}	GetTransData	fromState; transID	toState; transName; exitAngle; entrAngle; stiffness; labelPos; pinCrnr
{LV.StateDiagramWizard}	IsLockedByMe	ObjRef	Locked?
{LV.StateDiagramWizard}	LaunchEditor		
{LV.StateDiagramWizard}	LockConst	Const; AllowValChg	
{LV.StateDiagramWizard}	LockObject	ObjRef	
{LV.StateDiagramWizard}	NumStates		numStates
{LV.StateDiagramWizard}	NumTrans	stateIdx	numTrans
{LV.StateDiagramWizard}	RemoveState	stateName	
{LV.StateDiagramWizard}	RemoveTag	TagName	RemoveTag; OldValue
{LV.StateDiagramWizard}	RemoveTrans	transName; fromStateIdx	
{LV.StateDiagramWizard}	ReorderTrans	fromState; transNames	
{LV.StateDiagramWizard}	SetProperty	Index; Value	
{LV.StateDiagramWizard}	SetStateData	stateIdx; stateRect; stateRect; Terminal?	
{LV.StateDiagramWizard}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.StateDiagramWizard}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.StateDiagramWizard}	SetTransData	fromState; transName; newTransName; exitAngle; entrAngle; stiffness; labelPos; pinCrnr; toState	
{LV.StateDiagramWizard}	SetVisTrans	StateIdx; TransName	
{LV.StateDiagramWizard}	ToggleSubVICall		
{LV.StateDiagramWizard}	TransStateOutput	StateIdx	OutputTun
{LV.StateDiagramWizard}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.StateDiagramWizard}	UnLockConst	Const	
{LV.StateDiagramWizard}	UnLockObject	ObjRef	
{LV.StateDiagramWizard}	UpdateStateConsts	StateName; Remove	
{LV.StaticVIReference}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.StaticVIReference}	Connect Wires	Wire Source; Auto Wire? (T); Wiring Specs; Auto Route? (F)	
{LV.StaticVIReference}	Delete		
{LV.StaticVIReference}	GetProperty	Index	GetProperty
{LV.StaticVIReference}	GetPropertyCallData		GetPropertyCallData
{LV.StaticVIReference}	GetTag	TagName	GetTag; Value; isPersistent
{LV.StaticVIReference}	Move	position; owner; duplicate	
{LV.StaticVIReference}	ObjHighlight		
{LV.StaticVIReference}	RemoveTag	TagName	RemoveTag; OldValue
{LV.StaticVIReference}	Replace	Style; Path; PaletteString	Replace
{LV.StaticVIReference}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.StaticVIReference}	SetProperty	Index; Value	
{LV.StaticVIReference}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.StaticVIReference}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.StaticVIReference}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.StringConstant}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.StringConstant}	Delete		
{LV.StringConstant}	Discon Typedef		Discon Typedef
{LV.StringConstant}	GetProperty	Index	GetProperty
{LV.StringConstant}	GetPropertyCallData		GetPropertyCallData
{LV.StringConstant}	GetTag	TagName	GetTag; Value; isPersistent
{LV.StringConstant}	Move	position; owner; duplicate	
{LV.StringConstant}	ObjHighlight		
{LV.StringConstant}	RemoveTag	TagName	RemoveTag; OldValue
{LV.StringConstant}	Replace	Style; Path; PaletteString	Replace
{LV.StringConstant}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.StringConstant}	SetProperty	Index; Value	
{LV.StringConstant}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.StringConstant}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.StringConstant}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.StringConstant}	Update Typedef		Update Typedef
{LV.String}	AttachDataSocket	url; mode; enabled	
{LV.String}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.String}	CpyWizTmpl	TmplPath; WizID; Select	CpyWizTmpl
{LV.String}	Create Control Ref		Create Control Ref
{LV.String}	Create Invoke Node		Create Invoke Node
{LV.String}	Create Local		Create Local
{LV.String}	Create Property Node		Create Property Node
{LV.String}	Delete		
{LV.String}	Discon Typedef		Discon Typedef
{LV.String}	Get Image	image depth; bg color	image data
{LV.String}	Get Nth Line	index	text; start; end
{LV.String}	Get Term Image	image depth; background color	image data
{LV.String}	GetProperty	Index	GetProperty
{LV.String}	GetPropertyCallData		GetPropertyCallData
{LV.String}	GetTag	TagName	GetTag; Value; isPersistent
{LV.String}	Move	position; owner; duplicate	
{LV.String}	ObjHighlight		
{LV.String}	Reinit To Dflt		
{LV.String}	RemoveDataSocket		
{LV.String}	RemoveTag	TagName	RemoveTag; OldValue
{LV.String}	Replace	Style; Path; PaletteString	Replace
{LV.String}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.String}	SetProperty	Index; Value	
{LV.String}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.String}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.String}	Size to Text		
{LV.String}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.String}	Update Typedef		Update Typedef
{LV.Structure}	Auto Size		
{LV.Structure}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.Structure}	Connect Wires	Wire Source; Auto Wire? (T); Wiring Specs; Auto Route? (F)	
{LV.Structure}	Delete		
{LV.Structure}	GetProperty	Index	GetProperty
{LV.Structure}	GetPropertyCallData		GetPropertyCallData
{LV.Structure}	GetTag	TagName	GetTag; Value; isPersistent
{LV.Structure}	Move	position; owner; duplicate	
{LV.Structure}	ObjHighlight		
{LV.Structure}	Remove Structure		
{LV.Structure}	RemoveTag	TagName	RemoveTag; OldValue
{LV.Structure}	Replace	Style; Path; PaletteString	Replace
{LV.Structure}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.Structure}	SetProperty	Index; Value	
{LV.Structure}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.Structure}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.Structure}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.SubPanel}	AttachDataSocket	url; mode; enabled	
{LV.SubPanel}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.SubPanel}	CpyWizTmpl	TmplPath; WizID; Select	CpyWizTmpl
{LV.SubPanel}	Create Control Ref		Create Control Ref
{LV.SubPanel}	Create Invoke Node		Create Invoke Node
{LV.SubPanel}	Create Local		Create Local
{LV.SubPanel}	Create Property Node		Create Property Node
{LV.SubPanel}	Delete		
{LV.SubPanel}	Discon Typedef		Discon Typedef
{LV.SubPanel}	Get Image	image depth; bg color	image data
{LV.SubPanel}	Get Term Image	image depth; background color	image data
{LV.SubPanel}	GetProperty	Index	GetProperty
{LV.SubPanel}	GetPropertyCallData		GetPropertyCallData
{LV.SubPanel}	GetTag	TagName	GetTag; Value; isPersistent
{LV.SubPanel}	Insert VI	VI Ref	
{LV.SubPanel}	InsertBD	VIRef; ShowHScrollBar?; ShowVScrollBar?	
{LV.SubPanel}	Move	position; owner; duplicate	
{LV.SubPanel}	ObjHighlight		
{LV.SubPanel}	Reinit To Dflt		
{LV.SubPanel}	Remove VI		
{LV.SubPanel}	RemoveDataSocket		
{LV.SubPanel}	RemoveTag	TagName	RemoveTag; OldValue
{LV.SubPanel}	Replace	Style; Path; PaletteString	Replace
{LV.SubPanel}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.SubPanel}	SetProperty	Index; Value	
{LV.SubPanel}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.SubPanel}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.SubPanel}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.SubPanel}	Update Typedef		Update Typedef
{LV.SubVI}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.SubVI}	Connect Wires	Wire Source; Auto Wire? (T); Wiring Specs; Auto Route? (F)	
{LV.SubVI}	Delete		
{LV.SubVI}	FeedsThrough	term1; term2	FeedsThrough
{LV.SubVI}	GetProperty	Index	GetProperty
{LV.SubVI}	GetPropertyCallData		GetPropertyCallData
{LV.SubVI}	GetTag	TagName	GetTag; Value; isPersistent
{LV.SubVI}	Inline	mkspc; seqwrap	seqrefnum
{LV.SubVI}	Move	position; owner; duplicate	
{LV.SubVI}	ObjHighlight		
{LV.SubVI}	Relink To VI		Relink To VI
{LV.SubVI}	RemoveTag	TagName	RemoveTag; OldValue
{LV.SubVI}	Replace	Style; Path; PaletteString	Replace
{LV.SubVI}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.SubVI}	SetProperty	Index; Value	
{LV.SubVI}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.SubVI}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.SubVI}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.SubWizard}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.SubWizard}	Delete		
{LV.SubWizard}	GetProperty	Index	GetProperty
{LV.SubWizard}	GetPropertyCallData		GetPropertyCallData
{LV.SubWizard}	GetTag	TagName	GetTag; Value; isPersistent
{LV.SubWizard}	IsLockedByMe	ObjRef	Locked?
{LV.SubWizard}	LockConst	Const; AllowValChg	
{LV.SubWizard}	LockObject	ObjRef	
{LV.SubWizard}	RemoveTag	TagName	RemoveTag; OldValue
{LV.SubWizard}	SetProperty	Index; Value	
{LV.SubWizard}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.SubWizard}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.SubWizard}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.SubWizard}	UnLockConst	Const	
{LV.SubWizard}	UnLockObject	ObjRef	
{LV.TabControl}	Add Page	Page; After	
{LV.TabControl}	AttachDataSocket	url; mode; enabled	
{LV.TabControl}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.TabControl}	CpyWizTmpl	TmplPath; WizID; Select	CpyWizTmpl
{LV.TabControl}	Create Control Ref		Create Control Ref
{LV.TabControl}	Create Invoke Node		Create Invoke Node
{LV.TabControl}	Create Local		Create Local
{LV.TabControl}	Create Property Node		Create Property Node
{LV.TabControl}	Delete		
{LV.TabControl}	Discon Typedef		Discon Typedef
{LV.TabControl}	Dup Page	Page	
{LV.TabControl}	Get Image	image depth; bg color	image data
{LV.TabControl}	Get Term Image	image depth; background color	image data
{LV.TabControl}	GetProperty	Index	GetProperty
{LV.TabControl}	GetPropertyCallData		GetPropertyCallData
{LV.TabControl}	GetTag	TagName	GetTag; Value; isPersistent
{LV.TabControl}	Move	position; owner; duplicate	
{LV.TabControl}	ObjHighlight		
{LV.TabControl}	Reinit To Dflt		
{LV.TabControl}	Remove Page	Page	
{LV.TabControl}	RemoveDataSocket		
{LV.TabControl}	RemoveTag	TagName	RemoveTag; OldValue
{LV.TabControl}	Replace	Style; Path; PaletteString	Replace
{LV.TabControl}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.TabControl}	SetProperty	Index; Value	
{LV.TabControl}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.TabControl}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.TabControl}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.TabControl}	Update Typedef		Update Typedef
{LV.Table}	AttachDataSocket	url; mode; enabled	
{LV.Table}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.Table}	CpyWizTmpl	TmplPath; WizID; Select	CpyWizTmpl
{LV.Table}	Create Control Ref		Create Control Ref
{LV.Table}	Create Invoke Node		Create Invoke Node
{LV.Table}	Create Local		Create Local
{LV.Table}	Create Property Node		Create Property Node
{LV.Table}	Delete		
{LV.Table}	Discon Typedef		Discon Typedef
{LV.Table}	Get Image	image depth; bg color	image data
{LV.Table}	Get Term Image	image depth; background color	image data
{LV.Table}	GetProperty	Index	GetProperty
{LV.Table}	GetPropertyCallData		GetPropertyCallData
{LV.Table}	GetTag	TagName	GetTag; Value; isPersistent
{LV.Table}	Move	position; owner; duplicate	
{LV.Table}	ObjHighlight		
{LV.Table}	Reinit To Dflt		
{LV.Table}	RemoveDataSocket		
{LV.Table}	RemoveTag	TagName	RemoveTag; OldValue
{LV.Table}	Replace	Style; Path; PaletteString	Replace
{LV.Table}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.Table}	Set Cell Value	X Index; Y Index; Value	
{LV.Table}	SetProperty	Index; Value	
{LV.Table}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.Table}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.Table}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.Table}	Update Typedef		Update Typedef
{LV.Terminal}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.Terminal}	Connect Wire	Wire Source; Auto Wire? (T); Wiring Specs; Auto Route? (F)	
{LV.Terminal}	Create Constant	Value	Create Constant
{LV.Terminal}	Create Control	Value	Create Control
{LV.Terminal}	Create Described Wire	Wire Source; Wire Description; Auto Route? (F)	
{LV.Terminal}	Create Indicator		Create Indicator
{LV.Terminal}	Delete		
{LV.Terminal}	GetProperty	Index	GetProperty
{LV.Terminal}	GetPropertyCallData		GetPropertyCallData
{LV.Terminal}	GetTag	TagName	GetTag; Value; isPersistent
{LV.Terminal}	Move	position; owner; duplicate	
{LV.Terminal}	ObjHighlight		
{LV.Terminal}	RemoveTag	TagName	RemoveTag; OldValue
{LV.Terminal}	Replace	Style; Path; PaletteString	Replace
{LV.Terminal}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.Terminal}	SetProperty	Index; Value	
{LV.Terminal}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.Terminal}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.Terminal}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.Text}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.Text}	Delete		
{LV.Text}	GetProperty	Index	GetProperty
{LV.Text}	GetPropertyCallData		GetPropertyCallData
{LV.Text}	GetTag	TagName	GetTag; Value; isPersistent
{LV.Text}	Move	position; owner; duplicate	
{LV.Text}	MoveToDefLoc		
{LV.Text}	ObjHighlight		
{LV.Text}	RemoveTag	TagName	RemoveTag; OldValue
{LV.Text}	Replace	Style; Path; PaletteString	Replace
{LV.Text}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.Text}	SetProperty	Index; Value	
{LV.Text}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.Text}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.Text}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.TimedLoop}	Add Shift Register	Y Position	Add Shift Register
{LV.TimedLoop}	Auto Size		
{LV.TimedLoop}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.TimedLoop}	Connect Wires	Wire Source; Auto Wire? (T); Wiring Specs; Auto Route? (F)	
{LV.TimedLoop}	Delete		
{LV.TimedLoop}	GetProperty	Index	GetProperty
{LV.TimedLoop}	GetPropertyCallData		GetPropertyCallData
{LV.TimedLoop}	GetTag	TagName	GetTag; Value; isPersistent
{LV.TimedLoop}	Move	position; owner; duplicate	
{LV.TimedLoop}	ObjHighlight		
{LV.TimedLoop}	Remove Structure		
{LV.TimedLoop}	RemoveTag	TagName	RemoveTag; OldValue
{LV.TimedLoop}	Replace	Style; Path; PaletteString	Replace
{LV.TimedLoop}	Replace No Attrib	Param 0; Param 1; PaletteString	RepNoAttrib
{LV.TimedLoop}	Replace With WhileLoop		ReplaceWithWhileLoop
{LV.TimedLoop}	ReplaceWithTimeLoop		
{LV.TimedLoop}	SetProperty	Index; Value	
{LV.TimedLoop}	SetTag	TagName; Value; isPersistent	SetTag; OldValue
{LV.TimedLoop}	SetTagPersistance	TagName; isPersistent	SetTagPersistence
{LV.TimedLoop}	Traverse	OpName; ContextData; TraverseAll	Traverse; ContextData
{LV.TopLevelDiagram}	CallClassOp	OpName; ContextDataIn	CallClassOp; ContextDataIn
{LV.TopLevelDiagram}	Clear Selection		
{LV.TopLevelDiagram}	Copy Selection		
{LV.TopLevelDiagram}	CutSelection		
{LV.TopLevelDiagram}	Delete		
